names,SMILES,m,sigma,epsilon_k,mu,kappa_ab,epsilon_k_ab
oct-1-ene,C=CCCCCCC,3.670576096,3.852790356,247.8334961,0,0,0
2-methylphenol,Cc1ccccc1O,3.587985039,3.555612326,300.2218323,0,0.003367212,2088.408203
octadec-1-ene,C=CCCCCCCCCCCCCCCCC,5.869747639,4.128845215,288.9512329,0,0,0
4-methylphenol,Cc1ccc(O)cc1,3.668427944,3.488416195,299.8858032,0,0.003658499,2438.247559
ethyl 2-phenylacetate,CCOC(=O)Cc1ccccc1,4.398017406,3.641967773,289.3888245,3.208016634,0,0
pentane,CCCCC,2.671120405,3.777173758,233.1188965,0,0,0
pentan-1-ol,CCCCCO,3.311752319,3.575124264,259.8042603,0,0.004088999,2542.65918
pentan-2-one,CCCC(C)=O,3.200355053,3.564331055,253.4173584,2.729323387,0,0
phenol,Oc1ccccc1,3.473398209,3.363540649,303.2170105,0,0.003620671,2140.272705
carbonyl dichloride,O=C(Cl)Cl,2.437222958,3.176537752,229.8239136,1.582094073,0,0
propan-1-ol,CCCO,2.919632196,3.285678625,253.9353333,0,0.004424057,2322.111572
propanoic acid,CCC(=O)O,2.997267485,3.3160851,299.9326782,0,0.00434655,1943.233521
propane-1-thiol,CCCS,2.633199453,3.604006767,263.6051941,0,0.003062664,1075.031494
2-methyloxirane,CC1CO1,2.540247202,3.262695313,241.0180206,1.988138318,0,0
pyridine,c1ccncc1,3.243473768,3.23735714,266.1525879,2.512423992,0,0
methyl 2-hydroxybenzoate,COC(=O)c1ccccc1O,3.823307991,3.637194872,307.8293762,0,0.003526678,1928.183594
,S=C=S,2.295009851,3.289041996,276.7922363,0,0,13.49011993
styrene,C=Cc1ccccc1,3.482219696,3.617177248,274.2929688,0,0,0
methylsulfinylmethane,CS(C)=O,3.57409668,3.036362648,279.3695068,2.555538654,0,0
tetraethylsilane,CC[Si](CC)(CC)CC,4.047704697,4.04936409,248.5299683,0,0,0
2-methylpropan-2-ol,CC(C)(C)O,2.717986107,3.580734253,252.3403168,0,0.004121589,2130.111572
tetradecane,CCCCCCCCCCCCCC,5.310756683,4.117536068,269.1652832,0,0,0
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",C1CC[C@H]2CCCC[C@@H]2C1,4.007793903,3.831469774,273.5646973,0,0,0
"1,2,3,4-tetrahydronaphthalene",c1ccc2c(c1)CCCC2,4.209444046,3.642122269,281.9329224,0,0,0
tetrachloromethane,ClC(Cl)(Cl)Cl,2.816731215,3.558736324,261.4316101,0,0,0
oxolan-2-ylmethanol,OCC1CCCO1,3.237619877,3.49569273,311.5862732,0,0.004603571,1857.302856
oxolane,C1CCOC1,2.829558372,3.363730431,249.1046753,2.217879772,0,0
toluene,Cc1ccccc1,3.14585495,3.572209835,267.8831482,0,0,0
"n,n-diethylethanamine",CCN(CC)CC,3.104772568,3.874070883,249.2972717,0,0,0
"1,1,2-trichloroethane",ClCC(Cl)Cl,3.099619389,3.393015862,273.9927063,2.24262929,0,0
"1,1,2,2-tetrachloroethene",ClC(Cl)=C(Cl)Cl,3.366060257,3.471408367,266.0614319,0,0,0
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,2.887811184,3.553856611,249.3228149,2.328174114,0,0
"1,1,2-trichloroethene",ClC=C(Cl)Cl,3.073500156,3.417708397,258.2467957,0,0,0
trifluoromethylbenzene,FC(F)(F)c1ccccc1,3.309175491,3.514754772,252.0207062,2.532418489,0,0
"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,3.642025232,4.02789402,246.521698,0,0,0
"2,2,3-trimethylbutane",CC(C)C(C)(C)C,3.090193748,3.985670805,241.3069916,0,0,0
ethenyl acetate,C=COC(C)=O,2.915509224,3.392708302,249.4963837,2.364444733,0,0
"1,3-xylene",Cc1cccc(C)c1,3.462084055,3.632888556,271.903595,0,0,0
"1,4-xylene",Cc1ccc(C)cc1,3.474737644,3.636571169,270.5675354,0,0,0
1-nitroethane,CC[N+](=O)[O-],3.218794346,3.166792393,266.8433533,2.477045298,0,0
methanamine,CN,2.223297834,2.997330427,234.2677002,0,0.003627885,1084.755615
n-methylmethanamine,CNC,2.319874048,3.290389061,233.2067566,0,0.00313504,1248.721436
propane-2-thiol,CC(C)S,2.567346334,3.666105032,252.336441,0,0.002838272,1001.005554
