main_group,main_group_id,subgroup,subgroup_id,R,Q,IL_R,IL_Q,bonds,atoms,smarts,contribute,composed
CCL3,23,CHCL3,50,2.87,2.41,,,{'single': 3},"{'Cl': 3, 'H': 1, 'C': 1}",[CX4;H1;!$([CX4;H0](Cl)(Cl)(Cl)(Cl))](Cl)(Cl)(Cl),"{""CHCL3"": 1, ""CH"": -1}",n
CCL3,23,CCL3,51,2.6401,2.184,2.65,2.3778,{'single': 3},"{'Cl': 3, 'H': 0, 'C': 1}",[CX4;H0;!$([CX4;H0](Cl)(Cl)(Cl)(Cl))](Cl)(Cl)(Cl),"{""CCL3"": 1, ""C"": -1}",n
CCL4,24,CCL4,52,3.39,2.91,2.618,3.1836,{'single': 4},"{'Cl': 4, 'H': 0, 'C': 1}",[CX4;H0]([Cl])([Cl])([Cl])([Cl]),"{""CCL4"": 1, ""C"": -1}",n
ACCL,25,ACCL,53,1.1562,0.844,0.5365,0.3177,{'aromatic': 1},"{'Cl': 1, 'H': 0, 'C': 1}",[c][Cl],"{""ACCL"": 1, ""AC"": -1}",n
CNO2,26,CH3NO2,54,2.0086,1.868,2.644,2.5,"{'double': 1, 'single': 2}","{'N': 1, 'H': 3, 'O': 2, 'C': 1}",[CX4;H3][NX3](=[OX1])([OX1]),"{""CH3NO2"": 1, ""CH3"": -1}",n
CNO2,26,CH2NO2,55,1.7818,1.56,2.5,2.304,"{'double': 1, 'single': 2}","{'N': 1, 'H': 2, 'O': 2, 'C': 1}",[CX4;H2][NX3](=[OX1])([OX1]),"{""CH2NO2"": 1, ""CH2"": -1}",n
CNO2,26,CHNO2,56,1.5544,1.248,,,"{'double': 1, 'single': 2}","{'N': 1, 'H': 1, 'O': 2, 'C': 1}",[CX4;H1][NX3](=[OX1])([OX1]),"{""CHNO2"": 1, ""CH"": -1}",n
ACNO2,27,ACNO2,57,1.4199,1.104,,,"{'double': 1, 'single': 2, 'aromatic': 1}","{'N': 1, 'O': 2, 'C': 1}",[cX3][NX3](=[OX1])([OX1]),"{""ACNO2"": 1, ""AC"": -1}",n
CS2,28,CS2,58,2.057,1.65,,,{'double': 2},"{'C': 1, 'S': 2}",C(=S)=S,"{""CS2"": 1}",n
CH3SH,29,CH3SH,59,1.877,1.676,,,{'single': 1},"{'C': 1, 'S': 1, 'H': 4}",[SX2H][CX4;H3],"{""CH3SH"": 1, ""CH3"": -1}",n
